CV Data Logger started on:,2020-2-28_141452
Timestamp (millisec since midnight today), CoM X (cm), CoM Y (cm), Theta (deg), Goal X (cm), Goal Y (cm)
51292489,46.5081593789,12.3941680134,150.918905757,6.19400440426,41.1998079163
51293288,46.5081593789,12.3941680134,149.739011475,6.19400440426,41.1998079163
51293790,46.5081593789,12.3941680134,150.918905757,6.19606452978,41.1361536513
51293937,46.5081593789,12.3941680134,149.739011475,6.19400440426,41.1998079163
51294086,46.5081593789,12.3941680134,149.739011475,6.19400440426,41.1998079163
51294423,46.5081593789,12.3941680134,149.739011475,6.19606452978,41.1361536513
51294571,46.5081593789,12.3941680134,149.739011475,6.19400440426,41.1998079163
51294718,46.5081593789,12.3941680134,150.918905757,6.19606452978,41.1361536513
51295287,46.5081593789,12.3941680134,150.918905757,6.19606452978,41.1361536513
51295825,46.5081593789,12.3941680134,149.739011475,6.19606452978,41.1361536513
51295974,46.5081593789,12.3941680134,148.832816736,6.19606452978,41.1361536513
51296123,46.5081593789,12.3941680134,148.832816736,6.19400440426,41.1998079163
51296492,46.5081593789,12.3941680134,148.832816736,6.19606452978,41.1361536513
51296640,46.5081593789,12.3941680134,149.739011475,6.19400440426,41.1998079163
51297289,46.5081593789,12.3941680134,148.832816736,6.19606452978,41.1361536513
51297437,46.5081593789,12.3941680134,148.832816736,6.19606452978,41.1361536513
51297824,46.5081593789,12.3941680134,149.739011475,6.19606452978,41.1361536513
51297973,46.5081593789,12.3941680134,150.918905757,6.19606452978,41.1361536513
51298119,46.5081593789,12.3941680134,149.739011475,6.19606452978,41.1361536513
51298428,46.5081593789,12.3941680134,148.832816736,6.19606452978,41.1361536513
51298576,46.5081593789,12.3941680134,150.031191398,6.19606452978,41.1361536513
51299090,46.5081593789,12.3941680134,148.832816736,6.19606452978,41.1361536513
51299237,46.5081593789,12.3941680134,149.739011475,6.19606452978,41.1361536513
51299726,46.5081593789,12.3941680134,150.031191398,6.19606452978,41.1361536513
51299874,46.5081593789,12.3941680134,150.918905757,6.19606452978,41.1361536513
51300027,46.5081593789,12.3941680134,149.739011475,6.19606452978,41.1361536513
51300459,46.5081593789,12.3941680134,148.832816736,6.19606452978,41.1361536513
51300610,46.5081593789,12.3941680134,150.031191398,6.19606452978,41.1361536513
51301096,46.2004092999,12.3217589084,152.951761921,6.27351708092,41.1383423613
51301246,46.3594346532,12.1988277983,150.031191398,6.19606452978,41.1361536513
51301394,46.3800359084,11.5622851477,150.031191398,6.19606452978,41.1361536513
51301697,46.5782036465,10.2299230014,148.636178258,6.19606452978,41.1361536513
51303767,43.8146333115,9.38727826095,150.347087253,6.19606452978,41.1361536513
51303915,42.5980538739,8.65206198543,148.832816736,6.27351708092,41.1383423613
51304066,42.3636360949,8.70915012051,147.879824533,6.19606452978,41.1361536513
51304215,42.671386174,8.78155922554,144.607859413,6.19606452978,41.1361536513
51305139,43.7136871612,12.5063372489,136.487411008,6.19606452978,41.1361536513
51305285,43.3956364545,12.7521994692,133.130987468,6.19606452978,41.1361536513
51305634,42.5840286838,13.8760891404,133.130987468,6.19400440426,41.1998079163
51305783,42.1193133769,13.8629568804,131.7547796,6.19606452978,41.1361536513
51305934,41.650477819,13.9771331506,133.130987468,6.19606452978,41.1361536513
51306083,41.4935125912,14.0364099957,128.480400338,6.19606452978,41.1361536513
51306433,39.8307589763,12.7151730747,129.892935198,6.27351708092,41.1383423613
51306581,39.5230088973,12.6427639696,128.480400338,6.27351708092,41.1383423613
51306729,39.6004614484,12.6449526796,125.491545202,6.19606452978,41.1361536513
51307099,41.9273260153,15.0043562315,105.150614146,6.27351708092,41.1383423613
51307246,42.2981077669,15.524533902,103.306760237,6.19606452978,41.1361536513
51307698,41.4049271939,16.7735433933,103.960546025,6.19606452978,41.1361536513
51307846,40.7181548612,16.4355736781,103.624709868,6.19400440426,41.1998079163
51307997,40.4207054097,16.0448932477,103.624709868,6.27351708092,41.1383423613
51308148,40.3453129841,15.9790502727,101.438033108,6.19606452978,41.1361536513
51308529,40.267860433,15.9768615627,107.377118424,6.19606452978,41.1361536513
51308679,40.0355027795,15.9702954327,107.377118424,6.19400440426,41.1998079163
51309265,41.2665030958,16.2599318528,89.9178677303,6.19400440426,41.1998079163
51309413,41.0320853168,16.3170199879,89.9701561099,6.19400440426,41.1998079163
51309834,39.3417178518,18.244339295,80.3820586806,6.19400440426,41.1998079163
51309984,39.1031798218,18.4287359602,80.3820586806,6.19400440426,41.1998079163
51310138,38.711796815,18.5451009403,82.2563001571,6.19400440426,41.1998079163
51310503,37.684312395,19.1531903611,78.1649988729,6.19606452978,41.1361536513
51310654,37.3703819393,19.2717440512,80.0630780447,6.19606452978,41.1361536513
51310802,37.215476837,19.2673666312,80.0630780447,6.19400440426,41.1998079163
51311167,37.1359641604,19.3288321863,78.1649988729,6.19606452978,41.1361536513
51311835,35.7582992439,18.780201286,73.4744012733,6.19400440426,41.1998079163
51311985,35.4340681607,19.2170263014,78.1649988729,6.19606452978,41.1361536513
51312133,35.2771029329,19.2763031465,76.2965241461,6.19400440426,41.1998079163
51312405,35.1831693776,19.783348557,82.2563001571,6.19606452978,41.1361536513
51312552,35.2565016777,19.9128457971,81.9872134116,6.19606452978,41.1361536513
51313037,34.9157895904,20.8589049331,79.7261239257,6.19400440426,41.1998079163
51313187,35.1522674949,20.7381625329,80.0630780447,6.19400440426,41.1998079163
51313332,35.1543276204,20.6745082679,80.0630780447,6.19400440426,41.1998079163
51313671,34.9199098414,20.7315964029,77.777782607,6.19400440426,41.1998079163
51313822,34.9137294649,20.9225591981,78.1649988729,6.19400440426,41.1998079163
51313972,35.7863087826,20.3100923574,76.2965241461,6.19606452978,41.1361536513
51314122,35.8658214593,20.2486268024,72.6607587626,6.19400440426,41.1998079163
51314370,33.7457608212,21.0806913434,69.7461299891,6.19400440426,41.1998079163
51314519,33.6538873914,21.5240824889,68.5788017662,6.19606452978,41.1361536513
51314667,33.729279817,21.5899254639,67.950430485,6.19400440426,41.1998079163
51315037,34.0184887664,22.2352229545,72.6607587626,6.19400440426,41.1998079163
51315185,34.0164286409,22.2988772196,74.4608413624,6.19606452978,41.1361536513
51315331,33.7778906109,22.4832738848,72.1384600397,6.19400440426,41.1998079163
51315707,33.8491627855,22.6764253899,69.7461299891,6.19400440426,41.1998079163
51315855,33.7737703599,22.6105824149,70.337105418,6.19606452978,41.1361536513
51316007,33.5393525809,22.66767055,73.9807781312,6.19606452978,41.1361536513
51316151,33.4639601553,22.6018275749,72.1384600397,6.19606452978,41.1361536513
51316305,33.6065045045,22.9881305853,72.1384600397,6.19606452978,41.1361536513
51317001,32.3755041883,22.6984941652,75.8615383204,6.19606452978,41.1361536513
51317676,32.4892067802,23.9759568864,78.1649988729,6.19606452978,41.1361536513
51317823,32.4953871567,23.7849940912,75.8615383204,6.19606452978,41.1361536513
51317969,32.411754229,23.9737681764,77.777782607,6.19400440426,41.1998079163
51318119,32.4096941035,24.0374224414,78.1649988729,6.19606452978,41.1361536513
51318372,32.5707795824,23.8508370662,75.8615383204,6.19606452978,41.1361536513
51318974,33.0416752658,23.673006531,76.2965241461,6.19606452978,41.1361536513
51319209,32.6667732632,23.2801373907,61.3085780086,6.19400440426,41.1998079163
51319644,31.2903362537,25.0889030076,68.5788017662,6.19606452978,41.1361536513
51319794,31.2779755006,25.4708285979,66.8652144567,6.19606452978,41.1361536513
51319945,31.7200294268,26.1841577736,73.9807781312,6.19606452978,41.1361536513
51320510,31.7974819779,26.1863464835,83.201318185,6.19606452978,41.1361536513
51320658,31.6405167501,26.2456233286,82.9264592103,6.19606452978,41.1361536513
51320810,31.8036623545,25.9953836884,78.9919669441,6.19606452978,41.1361536513
51321177,32.28279854,25.5629360929,83.201318185,6.19606452978,41.1361536513
51321328,32.1196529356,25.8131757331,80.7430471305,6.19400440426,41.1998079163
51321772,32.646172008,23.9166800413,80.3820586806,6.19606452978,41.1361536513
51321923,32.10400415,23.9013590713,80.3820586806,6.19606452978,41.1361536513
51322076,31.7818331923,24.2745298217,80.6844482772,6.19606452978,41.1361536513
51322545,31.0682792279,24.7640655523,83.9335244903,6.19606452978,41.1361536513
51322697,30.7564088978,24.8189649774,83.7035292311,6.19606452978,41.1361536513
51322846,30.6768962211,24.8804305325,85.7239030039,6.19606452978,41.1361536513
51323109,30.4301176891,25.3194442579,87.5040510478,6.19606452978,41.1361536513
51323814,30.5096303657,25.2579787028,80.7430471305,6.19606452978,41.1361536513
51323962,30.898953247,25.2052679877,85.539546702,6.19606452978,41.1361536513
51324110,31.5329945347,24.7771978122,78.1649988729,6.19606452978,41.1361536513
51324259,31.6289882155,24.2064981367,74.9165276405,6.19606452978,41.1361536513
51324439,30.2513232991,23.6578672364,86.0622052305,6.19606452978,41.1361536513
51324587,30.0881776947,23.9081068766,87.9859198158,6.19606452978,41.1361536513
51325050,28.9873609745,24.3866990572,87.8757305333,6.19606452978,41.1361536513
51325200,28.6021583443,24.3121012422,89.8625945262,6.19606452978,41.1361536513
51325844,28.4122311083,25.3898463283,85.3438065622,6.19606452978,41.1361536513
51325994,28.1778133293,25.4469344633,83.201318185,6.19606452978,41.1361536513
51326147,28.1839937059,25.2559716682,83.4598752322,6.19606452978,41.1361536513
51326445,28.803614115,25.2734813481,83.4598752322,6.27351708092,41.1383423613
51326592,29.2786300495,24.9683422827,78.1649988729,6.19606452978,41.1361536513
51326740,29.5212883305,24.6566370874,80.3820586806,6.19606452978,41.1361536513
51327147,27.4486105792,24.0246535321,89.9178677303,6.19606452978,41.1361536513
51327295,27.2895852259,24.1475846422,86.0622052305,6.19606452978,41.1361536513
51327441,27.2875251004,24.2112389073,86.0622052305,6.27351708092,41.1383423613
51327743,27.4177086965,24.979467508,87.8757305333,6.19606452978,41.1361536513
51327890,27.4931011221,25.0453104831,87.9859198158,6.19606452978,41.1361536513
51328039,27.7130980224,25.4338022034,81.7027650285,6.19606452978,41.1361536513
51328480,27.1235472775,26.8825293299,81.0822699264,6.27351708092,41.1383423613
51329111,28.3957501041,25.8990804487,72.6607587626,6.27351708092,41.1383423613
51329259,28.4081108572,25.5171548584,72.6607587626,6.27351708092,41.1383423613
51329406,27.8762436268,25.1835625631,74.4608413624,6.19606452978,41.1361536513
51329931,25.9316893461,25.3834618736,87.9859198158,6.19606452978,41.1361536513
51330084,25.7013918182,25.3132414786,87.9859198158,6.27351708092,41.1383423613
51330414,25.554727218,25.0542469983,91.8536905708,6.19606452978,41.1361536513
51330565,25.7767842438,25.3790844536,87.7590897589,6.19606452978,41.1361536513
51330716,25.6053981374,25.8839411541,91.8536905708,6.19606452978,41.1361536513
51331280,24.9651764731,26.5029741248,85.539546702,6.19606452978,41.1361536513
51331868,25.5506069669,25.1815555285,80.0630780447,6.19606452978,41.1361536513
51332020,24.6273567297,24.9643282134,85.8978369905,6.27351708092,41.1383423613
51332162,24.4703915019,25.0236050585,87.9859198158,6.19606452978,41.1361536513
51332482,23.4635083371,24.9951518286,89.9178677303,6.19606452978,41.1361536513
51333302,23.1186759987,26.0685194946,89.7420099334,6.19606452978,41.1361536513
51333452,23.1166158732,26.1321737597,93.9647332194,6.19606452978,41.1361536513
51333935,22.6312993111,26.7555841504,87.2152050328,6.27351708092,41.1383423613
51334483,22.7664353768,24.9754534387,89.8625945262,6.19400440426,41.1998079163
51335156,20.9809064494,25.052421639,95.8293898149,6.19400440426,41.1998079163
51335309,20.8280614726,24.9843899539,97.804487766,6.19606452978,41.1361536513
51335457,20.7506089215,24.9822012439,99.9944159528,6.19606452978,41.1361536513
51335786,20.5606816854,26.05994633,98.1621542178,6.19606452978,41.1361536513
51335938,20.3995962065,26.2465317052,98.1621542178,6.19606452978,41.1361536513
51336089,20.1610581766,26.4309283704,98.3575384268,6.19606452978,41.1361536513
51336653,18.7203615876,25.4345289046,107.810242964,6.19400440426,41.1998079163
51336803,18.2618266573,25.2304338495,106.966351738,6.19400440426,41.1998079163
51337252,20.7320677918,25.5550896295,66.8652144567,6.19606452978,41.1361536513
51337402,21.0356976198,25.7548072646,62.8558074782,6.19400440426,41.1998079163
51337549,21.2659951478,25.8250276597,61.2578193733,6.19606452978,41.1361536513
51337890,23.0980747435,26.7050621452,58.071057729,6.19400440426,41.1998079163
51338039,22.380400528,27.3219064059,56.278449413,6.19400440426,41.1998079163
51338187,21.829992168,27.5612024962,53.7351768463,6.19606452978,41.1361536513
51339203,21.8526535486,26.8610055806,42.2005784074,6.19606452978,41.1361536513
51339353,21.7080490739,26.5383568353,42.1615883405,6.19400440426,41.1998079163
51339907,18.9518870225,27.8621458169,36.5137028968,6.19606452978,41.1361536513
51340061,18.6968679884,28.5557766026,36.8623687675,6.19606452978,41.1361536513
51341123,21.6371725878,31.1236526296,28.4040106133,6.19606452978,41.1361536513
51341690,21.8147390708,30.427833134,22.2412856176,6.19606452978,41.1361536513
51341843,21.4398370682,30.0349639936,22.2412856176,6.19606452978,41.1361536513
51341992,20.1169633222,30.188718719,22.7200775519,6.19606452978,41.1361536513
51342595,19.6028050029,31.7032888205,33.629927799,6.19606452978,41.1361536513
51342747,19.6007448774,31.7669430855,31.9340976113,6.19400440426,41.1998079163
51343188,20.8049635619,32.8840849514,27.1755130182,6.19606452978,41.1361536513
51343338,21.1044731389,33.2111111167,26.4732783014,6.19606452978,41.1361536513
51343487,21.4855555181,33.4130174618,27.1755130182,6.19606452978,41.1361536513
51343790,21.4101630924,33.3471744868,23.9939670848,6.27351708092,41.1383423613
51343939,21.2408371115,33.7883769222,24.6035001279,6.27351708092,41.1383423613
51344097,21.0167199602,33.527193732,28.4040106133,6.27351708092,41.1383423613
51344248,21.120954143,32.7018769962,28.4040106133,6.19606452978,41.1361536513
51344624,19.5109315731,32.1466799659,44.4863753869,6.27351708092,41.1383423613
51344776,19.2744536687,32.267422366,43.4059391271,6.27351708092,41.1383423613
51345196,18.1126654015,32.2345917162,46.9870034009,6.27351708092,41.1383423613
51345347,18.1126654015,32.2345917162,44.6246053075,6.27351708092,41.1383423613
51345992,17.2553391809,29.9804279192,41.1319066213,6.19606452978,41.1361536513
51346143,17.2615195574,29.789465124,40.0296088172,6.27351708092,41.1383423613
51346293,17.2615195574,29.789465124,36.8623687675,6.27351708092,41.1383423613
51347060,16.8132852547,29.2670987435,31.2229987846,6.20430503185,40.881536591
51347210,16.5768073502,29.3878411437,30.825022282,6.28587783403,40.7564167709
51347359,16.0894306627,30.0749057994,24.6426404414,6.29205821058,40.5654539757
51347921,15.8459401631,32.807661777,25.2452217644,6.29205821058,40.5654539757
51348072,15.9233927143,32.809850487,25.2452217644,6.37157088724,40.5039884206
51348224,16.4552599447,33.1434427823,26.4732783014,6.29205821058,40.5654539757
51348597,17.1111303947,34.4362264734,21.5777948051,6.29205821058,40.5654539757
51348748,17.2598551204,34.6315666886,19.8413311521,6.13715310829,40.5610765557
51349163,17.6532982527,34.4515474433,25.2452217644,5.67449792694,40.4842900307
51349314,17.6026273332,33.6218532876,24.6035001279,5.28929529673,40.4096922157
51349466,17.6677191313,34.0059675879,28.8580682287,4.98360534319,40.2736288456
51349829,17.327007044,34.9520267239,27.6776792669,4.29271275944,40.0629676605
51349978,17.4777918952,35.083712674,27.1755130182,4.21526020829,40.0607789505
51350131,17.5531843208,35.149555649,29.16874782,4.13780765715,40.0585902405
51351001,17.2722158735,34.2496410982,25.2452217644,3.44485494788,39.9115833205
51351302,16.974766422,33.8589606679,23.3791114349,3.52230749902,39.9137720305
51351665,16.8301619473,33.5363119226,22.7956272728,3.75466515246,39.9203381605
51351816,16.4738010744,32.5705543967,20.8680244937,3.83417782912,39.8588726054
51351969,16.249683923,32.3093712065,21.4242264243,3.83417782912,39.8588726054
51352272,15.4442565288,33.2422980825,29.6067405219,3.83417782912,39.8588726054
51352632,15.3750444797,32.9854923123,29.16874782,3.83417782912,39.8588726054
51352934,15.1406267008,33.0425804474,28.4040106133,3.91163038026,39.8610613154
51353082,14.9062089218,33.0996685824,30.3941302679,3.91163038026,39.8610613154
51353301,14.2276770912,32.507081807,32.4414008857,3.91163038026,39.8610613154
51353449,14.085132742,32.1207787966,30.3941302679,3.91163038026,39.8610613154
51353635,14.1708257952,31.8683504464,32.4414008857,3.91163038026,39.8610613154
51353784,14.2482783463,31.8705391564,30.7834785172,3.91163038026,39.8610613154
51354007,14.5477879233,32.1975653216,29.6067405219,3.91163038026,39.8610613154
51354156,14.6944525235,32.4565598019,29.16874782,3.91163038026,39.8610613154
51355601,16.1475098656,33.0710336772,25.2452217644,3.91163038026,39.8610613154
51355750,17.2215449541,33.4199469424,24.6035001279,4.06447535704,39.9290930004
51356338,24.2569298251,41.2005432238,-4.71652479679,3.23309854962,39.2684745399
51373857,9.00452109614,47.7779026422,100.49543814,4.01586456313,39.0357445796
51374242,11.6408001791,45.3676137345,117.355665779,5.05158948526,38.1730380986
51375593,15.3461618809,45.8545974045,129.670519905,10.9552965949,35.4090951552
51375741,13.607183622,46.8885682907,125.167381391,10.8127522457,35.0227921448
51376113,14.3837692589,46.8468011256,137.931956266,10.7352996946,35.0206034348
51400308,26.164797535,46.924867984,52.7157127063,10.6557870179,35.0820689899
51400455,26.1203069921,45.904211033,60.4777880103,10.6557870179,35.0820689899
51400602,25.9736423919,45.6452165528,56.278449413,10.6557870179,35.0820689899
51400896,26.8144876084,48.4086144703,39.984806587,10.6557870179,35.0820689899
